date,hour,temperature_c
2025-12-11,0,17.7
2025-12-11,1,17.133333333333333
2025-12-11,2,16.633333333333333
2025-12-11,3,16.133333333333336
2025-12-11,4,15.733333333333334
2025-12-11,5,15.566666666666668
2025-12-11,6,14.966666666666667
2025-12-11,7,15.1
2025-12-11,8,17.0
2025-12-11,9,19.733333333333334
2025-12-11,10,22.233333333333334
2025-12-11,11,24.066666666666666
2025-12-11,12,25.333333333333332
2025-12-11,13,25.933333333333334
2025-12-11,14,26.0
2025-12-11,15,25.599999999999998
2025-12-11,16,24.933333333333337
2025-12-11,17,23.566666666666666
2025-12-11,18,22.0
2025-12-11,19,20.866666666666667
2025-12-11,20,19.96666666666667
2025-12-11,21,19.2
2025-12-11,22,18.599999999999998
2025-12-11,23,17.933333333333334
