time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,12.4,85,2.7,2025-12-11,0,mild,10.700000000000001
2025-12-11 01:00:00,11.8,88,2.9,2025-12-11,1,mild,10.040000000000001
2025-12-11 02:00:00,11.1,90,3.3,2025-12-11,2,mild,9.299999999999999
2025-12-11 03:00:00,10.3,94,4.0,2025-12-11,3,mild,8.420000000000002
2025-12-11 04:00:00,9.7,98,4.1,2025-12-11,4,cold,7.739999999999999
2025-12-11 05:00:00,9.8,96,3.7,2025-12-11,5,cold,7.880000000000001
2025-12-11 06:00:00,8.7,98,3.7,2025-12-11,6,cold,6.739999999999999
2025-12-11 07:00:00,8.2,99,3.4,2025-12-11,7,cold,6.219999999999999
2025-12-11 08:00:00,9.7,97,2.6,2025-12-11,8,cold,7.76
2025-12-11 09:00:00,13.3,87,2.7,2025-12-11,9,mild,11.56
2025-12-11 10:00:00,16.8,77,2.9,2025-12-11,10,mild,15.260000000000002
2025-12-11 11:00:00,19.2,69,3.4,2025-12-11,11,mild,17.82
2025-12-11 12:00:00,20.8,63,4.2,2025-12-11,12,warm,19.54
2025-12-11 13:00:00,21.8,59,4.8,2025-12-11,13,warm,20.62
2025-12-11 14:00:00,22.3,55,5.5,2025-12-11,14,warm,21.2
2025-12-11 15:00:00,22.3,54,5.7,2025-12-11,15,warm,21.22
2025-12-11 16:00:00,21.6,59,3.4,2025-12-11,16,warm,20.42
2025-12-11 17:00:00,20.1,67,1.3,2025-12-11,17,warm,18.76
2025-12-11 18:00:00,18.8,69,0.8,2025-12-11,18,mild,17.42
2025-12-11 19:00:00,17.6,72,2.3,2025-12-11,19,mild,16.16
2025-12-11 20:00:00,16.6,73,3.7,2025-12-11,20,mild,15.14
2025-12-11 21:00:00,15.6,76,3.7,2025-12-11,21,mild,14.08
2025-12-11 22:00:00,14.7,78,1.8,2025-12-11,22,mild,13.139999999999999
2025-12-11 23:00:00,13.8,81,4.0,2025-12-11,23,mild,12.18
